id	comentario	supermercado	fecha
4	Estoy contenta con su atención hace meses compro en ara a mi me da gusto porque puedo comprar muchas cosas con 50 mil para comer una semana y en esta situación que estamos todos no han subido de precios como otros lugares que quieren abusar de la situación que vivos por eso me da gusto que usted presten un servio excelente	Ara	1/04/2020
4	agradecemos que aún tengan abierto que aún sigan con ánimos la chica que me atiende yo le digo amiga y la Veo cansada ella siempre sonríe pero es duro que así como ella da su mayor esfuerzo la gente no sea consciente y quieran dar a entender que la tienda debe estar super surtida como sino pasará nada hay cosas que hacen falta a lo que NormAlmemte hay pero es pasajero... Gracias a ustedes y los super héroes y heroínas que aun están allí arriesgándose por que en nuestro hogar no falte nada	Ara	1/04/2020
4	Me gusta todo lo que para cuidar la salud de las personas pero veo que los horarios es menor y no han tenido encuenta que toca hacer unas filas grande para que allan cambiado el horario. Y uno va y no hay leche ni pollo etc me parece que les hace falta surtir.	Ara	1/04/2020
4	Como trabajador ara noto varias cosas primero nosotros no tenemos la culpa de que en cada municipio o ciudad los decretos de atención al público hagan que estemos manejando horarios de atención al cliente difirentes somos ajenos a las políticas de cada ciudad y tenemos que seguir la norma segundo que todo que la población en general nos culpan de tener tiendas vacías cuando todos los días estamos surtiendo pero son ustedes mismos los que desabastecen las tiendas tercero que todo la gente no lee los letreros a las afueras de la tienda con las explicaciones de horarios de atención al público y cuarto que todo no pueden ver protocolos de desinfección porque se realizan a puerta cerrada eso no quiere decir que no se realicen y quinto paciencia para todos estamos con el ánimo de seguir atendiendolos con la mejor actitud solo que es difícil algunas veces por el tráfico de personas tan grande que manejamos y no discriminamos la experiencia con una persona no es la muestra de que familia ara obra de esa manera abrazos y mantengamos unidos	Ara	1/04/2020
4	Excelente servicio el de esta marca	Ara	1/04/2020
4	Me encanta simplemente gracias por arriesgarsen para brindar una atención de la mejor manera 	Ara	1/04/2020
4	Me gustaba comprar el pollo asado en sus tiendas y desde hace aprox. 6 meses uno de sus empleados en una de las tiendas en Suba me hizo el comentario que las papas que llevaba y la gaseosa no eran parte del combo. Se supone que ustedes trabajan para sus clientes y que debe primar la atención pero en ese aspecto han bajado mucho. Deben permitir que sus clientes escojan al gusto y no lo que los empleados impongan.	Ara	1/04/2020
4	Amo a tiendas Ara lo mejor	Ara	1/04/2020
4	Estamos en una situación totalmente anormal es obvio que la atención y el surtido de las tiendas se van a haber afectados así que hay que ser más comprensivos si está tienda no estuviese tomando las medidas de precaucion y dejara que se llenara de gente así como antes las críticas serian peores	Ara	1/04/2020
4	En ara de Biblioteca Tintal el lunes festivo exigieron tapabocas para poder ingresar. Claramente se indica en medios de comunicación que los tapabocas están agotados por compras excesivas de estos implementos y recomiendan que no se usen cuando no hay motivos. Est exigencia de Ara va en contra de todo lo que indican las autoridades locales	Ara	1/04/2020
4	Porque están cerrando los supermercados en salitre de Bogota???	Ara	1/04/2020
4	No tienen compra en línea o domicilios ?	Ara	1/04/2020
4	Estan discriminando a los trabajadores del area de la salud.	Ara	1/04/2020
4	Asepsia- antisepsia. Limpio con limpio - sucio con sucio.	Ara	1/04/2020
4	Tienen domicilios en Barranquilla??	Ara	1/04/2020
4	Pero coloquen medidas afuera del almacén  por q parecen granos de arroz todos pegados así No hay control	Ara	1/04/2020
4	surtan leche y huevos en quilla. ni porque uno vaya a las 7 llevo dos semanas sin comprar leche allá porque nunca hay me toca comprar en tiendas donde literal les dobla el precio pero ajá como se hace	Ara	1/04/2020
4	Pero de todas las tiendas es la que tiene mas surtido vayan a justo y bueno o d1 y siempre vacías a mi me ha ido bien con tiendas.ara	Ara	1/04/2020
4	Horario y condiciones de ingreso de la tienda ara de Soacha Av. Septima? Por favor.	Ara	1/04/2020
4	He visto muchas personas sin tapabocas y tosiendo	Ara	1/04/2020
4	Felicitaciones tiendas.ara en Cali los mejores precios todo organizado las góndolas llenas y las personas que atienden estan con sus tapabocas puestos. Estoy satisfecha con el servicio	Ara	1/04/2020
4	Sí o no se impide el ingreso? En qué condiciones si? No han respondido ni queja al respecto. Estoy esperando...	Ara	1/04/2020
4	Excelente	Ara	1/04/2020
